Brand,Model,Country,Founded,Chile_Entry,Segment,Years,Vehicle_Type,Popular
HYUNDAI,Accent,Corea del Sur,1967,1997,Masivo,1994-2025,Sedán,True
HYUNDAI,Elantra,Corea del Sur,1967,1997,Masivo,2000-2020,Sedán,False
HYUNDAI,Coupé,Corea del Sur,1967,1997,Masivo,2001-2009,Deportivo,False
HYUNDAI,Sonata,Corea del Sur,1967,1997,Masivo,2005-2025,Sedán Premium,False
HYUNDAI,Grandeur,Corea del Sur,1967,1997,Masivo,2011-2020,Sedán Luxury,False
HYUNDAI,Getz,Corea del Sur,1967,1997,Masivo,2005-2011,Hatchback,False
HYUNDAI,i10,Corea del Sur,1967,1997,Masivo,2008-2025,Citycar,True
HYUNDAI,i20,Corea del Sur,1967,1997,Masivo,2008-2025,Hatchback,True
HYUNDAI,Tucson,Corea del Sur,1967,1997,Masivo,2004-2025,SUV,True
HYUNDAI,Santa Fe,Corea del Sur,1967,1997,Masivo,2006-2025,SUV,True
HYUNDAI,Palisade,Corea del Sur,1967,1997,Masivo,2020-2025,SUV Premium,True
HYUNDAI,Kona,Corea del Sur,1967,1997,Masivo,2017-2025,SUV Compacto,True
HYUNDAI,Venue,Corea del Sur,1967,1997,Masivo,2019-2025,SUV Ultracompacto,True
HYUNDAI,Creta,Corea del Sur,1967,1997,Masivo,2021-2025,SUV Compacto,True
HYUNDAI,Creata Grand,Corea del Sur,1967,1997,Masivo,2024-2025,SUV,True
HYUNDAI,IONIQ,Corea del Sur,1967,1997,Masivo,2016-2025,Híbrido,True
HYUNDAI,IONIQ 5,Corea del Sur,1967,1997,Masivo,2021-2025,SUV Eléctrico,True
HYUNDAI,Matrix,Corea del Sur,1967,1997,Masivo,2001-2008,Hatchback,False
HYUNDAI,Terracan,Corea del Sur,1967,1997,Masivo,2001-2007,SUV,False
KIA,Rio,Corea del Sur,1944,1997,Masivo,1999-2025,"Sedán, Hatchback",True
KIA,Morning,Corea del Sur,1944,1997,Masivo,2011-2025,Citycar,True
KIA,Soluto,Corea del Sur,1944,1997,Masivo,2017-2025,Sedán Compacto,True
KIA,Cerato,Corea del Sur,1944,1997,Masivo,2003-2025,Sedán,True
KIA,K3,Corea del Sur,1944,1997,Masivo,2019-2025,Sedán,True
KIA,Sportage,Corea del Sur,1944,1997,Masivo,2004-2025,SUV,True
KIA,Sorento,Corea del Sur,1944,1997,Masivo,2002-2025,SUV,True
KIA,Seltos,Corea del Sur,1944,1997,Masivo,2019-2025,SUV Compacto,True
KIA,Sonet,Corea del Sur,1944,1997,Masivo,2020-2025,SUV Compacto,True
KIA,Niro,Corea del Sur,1944,1997,Masivo,2016-2025,Híbrido,True
KIA,Carnival,Corea del Sur,1944,1997,Masivo,2022-2025,Minivan,False
KIA,Carens,Corea del Sur,1944,1997,Masivo,2013-2025,Minivan,False
KIA,EV6,Corea del Sur,1944,1997,Masivo,2021-2025,Eléctrico,True
KIA,EV5,Corea del Sur,1944,1997,Masivo,2023-2025,SUV Eléctrico,True
KIA,EV9,Corea del Sur,1944,1997,Masivo,2023-2025,SUV Eléctrico,False
KIA,Stonic,Corea del Sur,1944,1997,Masivo,2017-2025,SUV Compacto,False
KIA,Telluride,Corea del Sur,1944,1997,Masivo,2020-2025,SUV,False
KIA,Niro EV,Corea del Sur,1944,1997,Masivo,2018-2025,SUV Eléctrico,False
CHEVROLET,Corsa,Estados Unidos,1911,1994,Masivo,1994-2025,Hatchback,True
CHEVROLET,Sail,Estados Unidos,1911,1994,Masivo,2010-2025,"Sedán, Hatchback",True
CHEVROLET,Spark,Estados Unidos,1911,1994,Masivo,2005-2025,Citycar,True
CHEVROLET,Onix,Estados Unidos,1911,1994,Masivo,2012-2025,Hatchback,True
CHEVROLET,Cruze,Estados Unidos,1911,1994,Masivo,2009-2015,Sedán,False
CHEVROLET,Malibu,Estados Unidos,1911,1994,Masivo,2000-2012,Sedán,False
CHEVROLET,Cavalier,Estados Unidos,1911,1994,Masivo,2000-2005,Sedán,False
CHEVROLET,Optra,Estados Unidos,1911,1994,Masivo,2004-2008,Sedán,False
CHEVROLET,Aveo,Estados Unidos,1911,1994,Masivo,2005-2011,Hatchback,False
CHEVROLET,Tracker,Estados Unidos,1911,1994,Masivo,2023-2025,SUV Compacto,False
CHEVROLET,Blazer,Estados Unidos,1911,1994,Masivo,2019-2025,SUV,True
CHEVROLET,Equinox,Estados Unidos,1911,1994,Masivo,2005-2025,SUV,False
CHEVROLET,Traverse,Estados Unidos,1911,1994,Masivo,2009-2025,SUV,False
CHEVROLET,Captiva,Estados Unidos,1911,1994,Masivo,2006-2025,SUV,True
CHEVROLET,Groove,Estados Unidos,1911,1994,Masivo,2021-2025,SUV Compacto,True
CHEVROLET,Spin,Estados Unidos,1911,1994,Masivo,2012-2025,Minivan,False
CHEVROLET,Tahoe,Estados Unidos,1911,1994,Masivo,2000-2025,SUV,False
CHEVROLET,Suburban,Estados Unidos,1911,1994,Masivo,2000-2025,SUV,False
CHEVROLET,Silverado,Estados Unidos,1911,1994,Masivo,1999-2025,Pick-up,True
CHEVROLET,Camaro,Estados Unidos,1911,1994,Masivo,2010-2024,Deportivo,False
CHEVROLET,Trailblazer,Estados Unidos,1911,1994,Masivo,2021-2025,SUV,False
CHEVROLET,D-Max,Estados Unidos,1911,1994,Masivo,2012-2025,Pick-up,False
FORD,Fiesta,Estados Unidos,1903,1994,Masivo,2002-2010,Hatchback,False
FORD,Focus,Estados Unidos,1903,1994,Masivo,1998-2018,"Hatchback, Sedán",False
FORD,Mondeo,Estados Unidos,1903,1994,Masivo,2000-2007,Sedán,False
FORD,Escape,Estados Unidos,1903,1994,Masivo,2001-2012,SUV,False
FORD,Ranger,Estados Unidos,1903,1994,Masivo,2004-2025,Pick-up,True
FORD,F-150,Estados Unidos,1903,1994,Masivo,2000-2025,Pick-up,True
FORD,F-250,Estados Unidos,1903,1994,Masivo,2000-2015,Pick-up,False
FORD,Taurus,Estados Unidos,1903,1994,Masivo,2000-2019,Sedán,False
FORD,Mustang,Estados Unidos,1903,1994,Masivo,2015-2025,Deportivo,True
FORD,Edge,Estados Unidos,1903,1994,Masivo,2007-2025,SUV,False
FORD,Territory,Estados Unidos,1903,1994,Masivo,2023-2025,SUV Compacto,True
FORD,EcoSport,Estados Unidos,1903,1994,Masivo,2012-2025,SUV Compacto,False
FORD,Transit,Estados Unidos,1903,1994,Masivo,2006-2025,Comercial,False
FORD,Ranger Raptor,Estados Unidos,1903,1994,Masivo,2018-2025,Pick-up Deportiva,True
FORD,Everest,Estados Unidos,1903,1994,Masivo,2015-2025,SUV,False
DODGE/RAM,Durango,Estados Unidos,1900,2000,Premium,2004-2025,SUV,False
DODGE/RAM,Dakota,Estados Unidos,1900,2000,Premium,2004-2011,Pick-up,False
DODGE/RAM,Charger,Estados Unidos,1900,2000,Premium,2007-2023,Sedán Deportivo,False
DODGE/RAM,Challenger,Estados Unidos,1900,2000,Premium,2009-2023,Deportivo,False
DODGE/RAM,Viper,Estados Unidos,1900,2000,Premium,2008-2017,Superdeportivo,False
DODGE/RAM,Ram Pickup,Estados Unidos,1900,2000,Premium,2009-2025,Pick-up,True
DODGE/RAM,Ram Rebel,Estados Unidos,1900,2000,Premium,2015-2025,Pick-up,False
DODGE/RAM,Ram Rampage,Estados Unidos,1900,2000,Premium,2023-2025,Pick-up Compacta,True
DODGE/RAM,Ram Promaster,Estados Unidos,1900,2000,Premium,2014-2025,Comercial,False
VOLKSWAGEN,Gol,Alemania,1937,1994,Masivo/Premium,2000-2015,Hatchback,False
VOLKSWAGEN,Polo,Alemania,1937,1994,Masivo/Premium,2002-2025,Hatchback,True
VOLKSWAGEN,Golf,Alemania,1937,1994,Masivo/Premium,2000-2025,Hatchback,True
VOLKSWAGEN,Jetta,Alemania,1937,1994,Masivo/Premium,2005-2025,Sedán,True
VOLKSWAGEN,Passat,Alemania,1937,1994,Masivo/Premium,2005-2025,Sedán,False
VOLKSWAGEN,Tiguan,Alemania,1937,1994,Masivo/Premium,2008-2025,SUV,True
VOLKSWAGEN,T-Roc,Alemania,1937,1994,Masivo/Premium,2017-2025,SUV Compacto,True
VOLKSWAGEN,Taos,Alemania,1937,1994,Masivo/Premium,2021-2025,SUV,True
VOLKSWAGEN,Amarok,Alemania,1937,1994,Masivo/Premium,2010-2025,Pick-up,True
VOLKSWAGEN,Vento,Alemania,1937,1994,Masivo/Premium,2014-2025,Sedán,False
VOLKSWAGEN,Fox,Alemania,1937,1994,Masivo/Premium,2003-2008,Hatchback,False
VOLKSWAGEN,Golf GTI,Alemania,1937,1994,Masivo/Premium,2010-2025,Hatchback Deportivo,False
VOLKSWAGEN,Beetle,Alemania,1937,1994,Masivo/Premium,2012-2019,Hatchback,False
VOLKSWAGEN,Up,Alemania,1937,1994,Masivo/Premium,2012-2025,Citycar,False
VOLKSWAGEN,Arteon,Alemania,1937,1994,Masivo/Premium,2017-2025,Sedán Premium,False
VOLKSWAGEN,T-Cross,Alemania,1937,1994,Masivo/Premium,2019-2025,SUV Compacto,False
VOLKSWAGEN,ID.4,Alemania,1937,1994,Masivo/Premium,2021-2025,SUV Eléctrico,True
VOLKSWAGEN,ID.5,Alemania,1937,1994,Masivo/Premium,2021-2025,SUV Eléctrico,False
PEUGEOT,206,Francia,1810,1994,Masivo,1998-2012,Hatchback,False
PEUGEOT,207,Francia,1810,1994,Masivo,2006-2015,Hatchback,False
PEUGEOT,208,Francia,1810,1994,Masivo,2012-2025,Hatchback,True
PEUGEOT,301,Francia,1810,1994,Masivo,2012-2020,Sedán,False
PEUGEOT,308,Francia,1810,1994,Masivo,2007-2025,Hatchback,True
PEUGEOT,309,Francia,1810,1994,Masivo,2000-2002,Hatchback,False
PEUGEOT,3008,Francia,1810,1994,Masivo,2009-2025,SUV,True
PEUGEOT,5008,Francia,1810,1994,Masivo,2009-2025,SUV,False
PEUGEOT,2008,Francia,1810,1994,Masivo,2013-2025,SUV Compacto,True
PEUGEOT,Traveller,Francia,1810,1994,Masivo,2016-2025,Minivan,False
PEUGEOT,Rifter,Francia,1810,1994,Masivo,2018-2025,Minivan,False
PEUGEOT,Partner,Francia,1810,1994,Masivo,2008-2025,Comercial,False
PEUGEOT,Boxer,Francia,1810,1994,Masivo,2006-2025,Comercial,False
PEUGEOT,Landtrek,Francia,1810,1994,Masivo,2023-2025,Pick-up,True
PEUGEOT,e-2008,Francia,1810,1994,Masivo,2020-2025,SUV Eléctrico,False
PEUGEOT,5,Francia,1810,1994,Masivo,2020-2025,Sedán,False
CITROËN,C3,Francia,1919,1994,Masivo,2002-2025,Hatchback,True
CITROËN,C4,Francia,1919,1994,Masivo,2004-2025,"Hatchback, SUV",True
CITROËN,C5,Francia,1919,1994,Masivo,2008-2025,SUV,False
CITROËN,Berlingo,Francia,1919,1994,Masivo,2003-2025,Comercial,False
CITROËN,Picasso,Francia,1919,1994,Masivo,2000-2014,Minivan,False
CITROËN,Elysée,Francia,1919,1994,Masivo,2012-2025,Sedán,False
CITROËN,Xsara,Francia,1919,1994,Masivo,2000-2005,Hatchback,False
CITROËN,Saxo,Francia,1919,1994,Masivo,2000-2004,Hatchback,False
CITROËN,Pluriel,Francia,1919,1994,Masivo,2003-2010,Roadster,False
CITROËN,Jumper,Francia,1919,1994,Masivo,2006-2025,Comercial,False
CITROËN,Aircross,Francia,1919,1994,Masivo,2017-2025,SUV Compacto,False
CITROËN,C-Elysée,Francia,1919,1994,Masivo,2012-2025,Sedán,False
CITROËN,CActus,Francia,1919,1994,Masivo,2018-2025,SUV Compacto,False
RENAULT,Clio,Francia,1899,1974,Masivo,1999-2020,Hatchback,False
RENAULT,Megane,Francia,1899,1974,Masivo,2002-2015,Hatchback,False
RENAULT,Scenic,Francia,1899,1974,Masivo,2000-2009,Minivan,False
RENAULT,Twingo,Francia,1899,1974,Masivo,2004-2014,Citycar,False
RENAULT,Symbol,Francia,1899,1974,Masivo,2002-2012,Sedán,False
RENAULT,Koleos,Francia,1899,1974,Masivo,2008-2020,SUV,False
RENAULT,Master,Francia,1899,1974,Masivo,2006-2025,Comercial,False
BMW,Serie 3,Alemania,1916,1994,Luxury,2000-2025,Sedán,False
BMW,Serie 5,Alemania,1916,1994,Luxury,2000-2025,Sedán Luxury,False
BMW,Serie 7,Alemania,1916,1994,Luxury,2002-2025,Sedán Ultra-Luxury,False
BMW,X3,Alemania,1916,1994,Luxury,2004-2025,SUV,False
BMW,X5,Alemania,1916,1994,Luxury,2000-2025,SUV,False
BMW,X6,Alemania,1916,1994,Luxury,2008-2025,SUV,False
BMW,Z4,Alemania,1916,1994,Luxury,2002-2025,Roadster,False
BMW,118i,Alemania,1916,1994,Luxury,2004-2025,Hatchback,False
BMW,M340i,Alemania,1916,1994,Luxury,2019-2025,Sedán Deportivo,False
BMW,M440i,Alemania,1916,1994,Luxury,2020-2025,SUV Deportivo,False
MERCEDES-BENZ,Clase A,Alemania,1886,1994,Luxury,2004-2025,Hatchback,False
MERCEDES-BENZ,Clase C,Alemania,1886,1994,Luxury,2000-2025,Sedán,False
MERCEDES-BENZ,Clase E,Alemania,1886,1994,Luxury,2000-2025,Sedán Luxury,False
MERCEDES-BENZ,Clase S,Alemania,1886,1994,Luxury,2000-2025,Sedán Ultra-Luxury,False
MERCEDES-BENZ,GLC,Alemania,1886,1994,Luxury,2015-2025,SUV,False
MERCEDES-BENZ,GLE,Alemania,1886,1994,Luxury,2015-2025,SUV,False
MERCEDES-BENZ,AMG GT,Alemania,1886,1994,Luxury,2015-2025,Deportivo,False
MERCEDES-BENZ,Sprinter,Alemania,1886,1994,Luxury,2006-2025,Comercial,False
MERCEDES-BENZ,GLB,Alemania,1886,1994,Luxury,2019-2025,SUV,False
AUDI,A1,Alemania,1909,2000,Luxury,2010-2025,Hatchback,False
AUDI,A3,Alemania,1909,2000,Luxury,2003-2025,Hatchback,False
AUDI,A4,Alemania,1909,2000,Luxury,2001-2025,Sedán,False
AUDI,A5,Alemania,1909,2000,Luxury,2007-2025,Coupé,False
AUDI,A6,Alemania,1909,2000,Luxury,2004-2025,Sedán Luxury,False
AUDI,A7,Alemania,1909,2000,Luxury,2011-2025,Sedán Premium,False
AUDI,Q3,Alemania,1909,2000,Luxury,2011-2025,SUV,False
AUDI,Q5,Alemania,1909,2000,Luxury,2008-2025,SUV,False
AUDI,Q7,Alemania,1909,2000,Luxury,2005-2025,SUV,False
AUDI,Q8,Alemania,1909,2000,Luxury,2018-2025,SUV Coupé,False
AUDI,RS4,Alemania,1909,2000,Luxury,2006-2025,Sedán Deportivo,False
AUDI,e-tron,Alemania,1909,2000,Luxury,2018-2025,SUV Eléctrico,False
PORSCHE,911,Alemania,1948,1999,Ultra-Luxury,2000-2025,Deportivo,False
PORSCHE,Cayenne,Alemania,1948,1999,Ultra-Luxury,2002-2025,SUV,False
PORSCHE,Macan,Alemania,1948,1999,Ultra-Luxury,2014-2025,SUV Compacto,False
PORSCHE,Panamera,Alemania,1948,1999,Ultra-Luxury,2009-2025,Sedán Deportivo,False
PORSCHE,Boxster,Alemania,1948,1999,Ultra-Luxury,2012-2025,Roadster,False
PORSCHE,Carrera,Alemania,1948,1999,Ultra-Luxury,2006-2025,Coupé,False
FIAT,600,Italia,1899,1974,Masivo,2000-2007,Hatchback,False
FIAT,Uno,Italia,1899,1974,Masivo,2000-2008,Hatchback,False
FIAT,Palio,Italia,1899,1974,Masivo,2000-2013,Hatchback,False
FIAT,Tipo,Italia,1899,1974,Masivo,2015-2025,Sedán,False
FIAT,Panda,Italia,1899,1974,Masivo,2003-2025,Citycar,False
FIAT,Punto,Italia,1899,1974,Masivo,1999-2015,Hatchback,False
FIAT,Strada,Italia,1899,1974,Masivo,1999-2013,Pick-up,False
FIAT,Ducato,Italia,1899,1974,Masivo,2006-2025,Comercial,False
VOLVO,S40,Suecia,1927,2005,Premium,2004-2012,Sedán,False
VOLVO,S60,Suecia,1927,2005,Premium,2010-2025,Sedán,False
VOLVO,S80,Suecia,1927,2005,Premium,2006-2016,Sedán Luxury,False
VOLVO,S90,Suecia,1927,2005,Premium,2016-2025,Sedán Luxury,False
VOLVO,XC40,Suecia,1927,2005,Premium,2018-2025,SUV Compacto,False
VOLVO,XC60,Suecia,1927,2005,Premium,2008-2025,SUV,False
VOLVO,XC90,Suecia,1927,2005,Premium,2002-2025,SUV,False
VOLVO,C30,Suecia,1927,2005,Premium,2006-2013,Hatchback,False
VOLVO,V40,Suecia,1927,2005,Premium,2012-2025,Hatchback,False
VOLVO,V60,Suecia,1927,2005,Premium,2010-2025,Station Wagon,False
VOLVO,V90,Suecia,1927,2005,Premium,2016-2025,Station Wagon,False
VOLVO,XC Recharge,Suecia,1927,2005,Premium,2020-2025,SUV Híbrido,False
CHERY,Tiggo,China,1997,2005,Masivo,2005-2025,SUV,True
CHERY,Tiggo 2,China,1997,2005,Masivo,2008-2025,SUV Compacto,True
CHERY,Tiggo 5,China,1997,2005,Masivo,2012-2025,SUV,False
CHERY,Tiggo 7,China,1997,2005,Masivo,2016-2025,SUV,True
CHERY,Tiggo 8,China,1997,2005,Masivo,2018-2025,SUV,True
CHERY,Tiggo 4 Pro,China,1997,2005,Masivo,2022-2025,SUV Compacto,True
CHERY,QQ,China,1997,2005,Masivo,2005-2015,Citycar,False
CHERY,QQ3,China,1997,2005,Masivo,2010-2020,Citycar,False
CHERY,Filmart,China,1997,2005,Masivo,2009-2015,Sedán,False
CHERY,Arrizo,China,1997,2005,Masivo,2012-2025,Sedán,False
CHERY,Arrizo 5,China,1997,2005,Masivo,2014-2025,Sedán,False
CHERY,Arrizo 6,China,1997,2005,Masivo,2016-2025,Sedán,False
CHERY,Arrizo 8,China,1997,2005,Masivo,2018-2025,Sedán,False
CHERY,Wamtai,China,1997,2005,Masivo,2017-2025,SUV,False
CHERY,TX,China,1997,2005,Masivo,2020-2025,SUV,False
GREAT WALL (GWM/HAVAL),Wingle,China,1984,2006,Masivo,2006-2025,Pick-up,True
GREAT WALL (GWM/HAVAL),Hover,China,1984,2006,Masivo,2007-2015,SUV,False
GREAT WALL (GWM/HAVAL),Hover H3,China,1984,2006,Masivo,2007-2012,SUV,False
GREAT WALL (GWM/HAVAL),Hover H5,China,1984,2006,Masivo,2011-2015,SUV,False
GREAT WALL (GWM/HAVAL),Haval H6,China,1984,2006,Masivo,2011-2025,SUV,True
GREAT WALL (GWM/HAVAL),Haval H2,China,1984,2006,Masivo,2013-2025,SUV Compacto,True
GREAT WALL (GWM/HAVAL),Haval H8,China,1984,2006,Masivo,2013-2020,SUV,False
GREAT WALL (GWM/HAVAL),Haval H9,China,1984,2006,Masivo,2014-2025,SUV,False
GREAT WALL (GWM/HAVAL),Haval Jolion,China,1984,2006,Masivo,2020-2025,SUV Compacto,True
GREAT WALL (GWM/HAVAL),Haval Dargo,China,1984,2006,Masivo,2022-2025,SUV,False
GREAT WALL (GWM/HAVAL),Steed,China,1984,2006,Masivo,2015-2025,Pick-up,False
GREAT WALL (GWM/HAVAL),Tank,China,1984,2006,Masivo,2021-2025,SUV 4x4,True
GREAT WALL (GWM/HAVAL),Ora,China,1984,2006,Masivo,2020-2025,Hatchback Eléctrico,False
GREAT WALL (GWM/HAVAL),ORA Good Cat,China,1984,2006,Masivo,2021-2025,Hatchback Eléctrico,False
CHANGAN,Benni,China,1862,2008,Masivo,2010-2020,Hatchback,False
CHANGAN,CS15,China,1862,2008,Masivo,2015-2025,SUV Compacto,True
CHANGAN,CS35,China,1862,2008,Masivo,2012-2025,SUV,True
CHANGAN,CS55,China,1862,2008,Masivo,2018-2025,SUV,True
CHANGAN,CS75,China,1862,2008,Masivo,2014-2025,SUV,True
CHANGAN,CS85,China,1862,2008,Masivo,2019-2025,SUV Coupé,False
CHANGAN,CS95,China,1862,2008,Masivo,2016-2025,SUV,False
CHANGAN,UNI-T,China,1862,2008,Masivo,2020-2025,SUV,True
CHANGAN,UNI-K,China,1862,2008,Masivo,2021-2025,SUV Premium,False
CHANGAN,UNI-V,China,1862,2008,Masivo,2022-2025,Sedán,False
CHANGAN,Alsvin,China,1862,2008,Masivo,2017-2025,Sedán,False
CHANGAN,Eado,China,1862,2008,Masivo,2010-2020,Sedán,False
CHANGAN,Deepal,China,1862,2008,Masivo,2023-2025,SUV Eléctrico,False
CHANGAN,Nevo,China,1862,2008,Masivo,2024-2025,SUV Eléctrico,False
CHANGAN,AVATR,China,1862,2008,Masivo,2024-2025,SUV Eléctrico Lujo,False
JAC,S3,China,2005,2010,Masivo,2015-2025,SUV Compacto,True
JAC,S5,China,2005,2010,Masivo,2013-2025,SUV,True
JAC,S7,China,2005,2010,Masivo,2020-2025,SUV,True
JAC,T6,China,2005,2010,Masivo,2013-2025,Pick-up,False
